ax_00_contour_contour_x,ax_00_contour_contour_y,ax_00_contour_contour_z
-3.0,-2.0,0.05872664492762098
-2.5,-2.0,0.24905228953044706
-2.0,-2.0,0.37840124765396416
-1.5,-2.0,0.41510438314691145
-1.0,-2.0,0.35017548837401463
-0.5,-2.0,0.19951142125004898
0.0,-2.0,-0.0
0.5,-2.0,-0.19951142125004898
1.0,-2.0,-0.35017548837401463
1.5,-2.0,-0.41510438314691145
2.0,-2.0,-0.37840124765396416
2.5,-2.0,-0.24905228953044706
-3.0,-1.5,-0.009982434469478687
-2.5,-1.5,-0.04233424474998413
-2.0,-1.5,-0.06432115545729157
-1.5,-1.5,-0.0705600040299336
-1.0,-1.5,-0.059523302749876744
-0.5,-1.5,-0.033913221008892595
0.0,-1.5,0.0
0.5,-1.5,0.033913221008892595
1.0,-1.5,0.059523302749876744
1.5,-1.5,0.0705600040299336
2.0,-1.5,0.06432115545729157
2.5,-1.5,0.04233424474998413
-3.0,-1.0,-0.07624746575887673
-2.5,-1.0,-0.32335587945721733
-2.0,-1.0,-0.49129549643388193
-1.5,-1.0,-0.5389488413540798
-1.0,-1.0,-0.4546487134128409
-0.5,-1.0,-0.2590347239999257
0.0,-1.0,0.0
0.5,-1.0,0.2590347239999257
1.0,-1.0,0.4546487134128409
1.5,-1.0,0.5389488413540798
2.0,-1.0,0.49129549643388193
2.5,-1.0,0.32335587945721733
-3.0,-0.5,-0.12384445820716831
-2.5,-0.5,-0.5252087174427745
-2.0,-0.5,-0.7979835653540055
-1.5,-0.5,-0.8753842058167891
-1.0,-0.5,-0.7384602626041288
-0.5,-0.5,-0.42073549240394825
0.0,-0.5,0.0
0.5,-0.5,0.42073549240394825
1.0,-0.5,0.7384602626041288
1.5,-0.5,0.8753842058167891
2.0,-0.5,0.7979835653540055
2.5,-0.5,0.5252087174427745
-3.0,0.0,-0.1411200080598672
-2.5,0.0,-0.5984721441039565
-2.0,0.0,-0.9092974268256817
-1.5,0.0,-0.9974949866040544
-1.0,0.0,-0.8414709848078965
-0.5,0.0,-0.479425538604203
0.0,0.0,0.0
0.5,0.0,0.479425538604203
1.0,0.0,0.8414709848078965
1.5,0.0,0.9974949866040544
2.0,0.0,0.9092974268256817
2.5,0.0,0.5984721441039565
-3.0,0.5,-0.12384445820716831
-2.5,0.5,-0.5252087174427745
-2.0,0.5,-0.7979835653540055
-1.5,0.5,-0.8753842058167891
-1.0,0.5,-0.7384602626041288
-0.5,0.5,-0.42073549240394825
0.0,0.5,0.0
0.5,0.5,0.42073549240394825
1.0,0.5,0.7384602626041288
1.5,0.5,0.8753842058167891
2.0,0.5,0.7979835653540055
2.5,0.5,0.5252087174427745
-3.0,1.0,-0.07624746575887673
-2.5,1.0,-0.32335587945721733
-2.0,1.0,-0.49129549643388193
-1.5,1.0,-0.5389488413540798
-1.0,1.0,-0.4546487134128409
-0.5,1.0,-0.2590347239999257
0.0,1.0,0.0
0.5,1.0,0.2590347239999257
1.0,1.0,0.4546487134128409
1.5,1.0,0.5389488413540798
2.0,1.0,0.49129549643388193
2.5,1.0,0.32335587945721733
-3.0,1.5,-0.009982434469478687
-2.5,1.5,-0.04233424474998413
-2.0,1.5,-0.06432115545729157
-1.5,1.5,-0.0705600040299336
-1.0,1.5,-0.059523302749876744
-0.5,1.5,-0.033913221008892595
0.0,1.5,0.0
0.5,1.5,0.033913221008892595
1.0,1.5,0.059523302749876744
1.5,1.5,0.0705600040299336
2.0,1.5,0.06432115545729157
2.5,1.5,0.04233424474998413
