ax0_trace-ax0-line-0_x,ax0_trace-ax0-line-0_y,ax0_trace-ax0-line-1_x,ax0_trace-ax0-line-1_y,ax0_trace-ax0-line-2_x,ax0_trace-ax0-line-2_y,ax0_trace-ax0-line-3_x,ax0_trace-ax0-line-3_y,ax0_trace-ax0-line-4_x,ax0_trace-ax0-line-4_y
-2.707530285668865,2.0,-2.707530285668865,1.5000000000000935,-2.707530285668865,1.000000000052669,-2.707530285668865,0.5014710564346887,-2.707530285668865,0.0011747692277451532
-2.6706417910519566,2.0,-2.6706417910519566,1.5000000000002398,-2.6706417910519566,1.0000000001213543,-2.6706417910519566,0.5019730923963877,-2.6706417910519566,0.0016335339366957433
-2.6337532964350476,2.0,-2.6337532964350476,1.500000000000605,-2.6337532964350476,1.0000000002747176,-2.6337532964350476,0.502598810153828,-2.6337532964350476,0.0022264645961362728
-2.596864801818139,2.0,-2.596864801818139,1.500000000001501,-2.596864801818139,1.0000000006110221,-2.596864801818139,0.5033613292264446,-2.596864801818139,0.0029749399329787683
-2.5599763072012305,2.0,-2.5599763072012305,1.5000000000036615,-2.5599763072012305,1.0000000013352937,-2.5599763072012305,0.5042693073417711,-2.5599763072012305,0.0038976219921742425
-2.523087812584322,2.0,-2.523087812584322,1.5000000000087808,-2.523087812584322,1.0000000028671865,-2.523087812584322,0.5053249368329991,-2.523087812584322,0.0050083367186418825
-2.486199317967413,2.0,-2.486199317967413,1.500000000020703,-2.486199317967413,1.0000000060493084,-2.486199317967413,0.5065220396430864,-2.486199317967413,0.006314095497105994
-2.4493108233505043,2.0,-2.4493108233505043,1.5000000000479923,-2.4493108233505043,1.000000012541175,-2.4493108233505043,0.5078445192974717,-2.4493108233505043,0.007813665249729193
-2.4124223287335957,2.0,-2.4124223287335957,1.5000000001093803,-2.4124223287335957,1.0000000255485708,-2.4124223287335957,0.5092654457163897,-2.4124223287335957,0.009497142956634945
-2.3755338341166867,2.0,-2.3755338341166867,1.5000000002450973,-2.3755338341166867,1.0000000511452334,-2.3755338341166867,0.510747027498651,-2.3755338341166867,0.01134696473576182
-2.338645339499778,2.0,-2.338645339499778,1.5000000005399696,-2.338645339499778,1.0000001006165484,-2.338645339499778,0.5122416613115107,-2.338645339499778,0.013340660543674256
-2.3017568448828696,2.0,-2.3017568448828696,1.5000000011695849,-2.3017568448828696,1.0000001945253658,-2.3017568448828696,0.5136941417071578,-2.3017568448828696,0.015455448860212518
-2.264868350265961,2.0,-2.264868350265961,1.5000000024907274,-2.264868350265961,1.0000003696102397,-2.264868350265961,0.5150449779593534,-2.264868350265961,0.017674467793949527
-2.227979855649052,2.0,-2.227979855649052,1.5000000052149811,-2.227979855649052,1.0000006902281042,-2.227979855649052,0.5162346159779512,-2.227979855649052,0.01999409894476664
-2.1910913610321434,2.0,-2.1910913610321434,1.5000000107352387,-2.1910913610321434,1.0000012669045513,-2.1910913610321434,0.5172082266324571,-2.1910913610321434,0.02243151668181624
-2.1542028664152344,2.0,-2.1542028664152344,1.500000021727178,-2.1542028664152344,1.0000022857114976,-2.1542028664152344,0.5179206212579222,-2.1542028664152344,0.02503135772747718
-2.117314371798326,2.0,-2.117314371798326,1.500000043234244,-2.117314371798326,1.0000040536937307,-2.117314371798326,0.5183408107842398,-2.117314371798326,0.027870321170286608
-2.0804258771814172,2.0,-2.0804258771814172,1.5000000845834995,-2.0804258771814172,1.0000070674134016,-2.0804258771814172,0.5184557479008646,-2.0804258771814172,0.03105862632255956
-2.0435373825645087,2.0000000000000004,-2.0435373825645087,1.5000001626960466,-2.0435373825645087,1.0000121138067615,-2.0435373825645087,0.5182728809224965,-2.0435373825645087,0.03473759157145323
-2.0066488879475997,2.0000000000000013,-2.0066488879475997,1.5000003076821522,-2.0066488879475997,1.0000204147771563,-2.0066488879475997,0.5178212898018686,-2.0066488879475997,0.03907312526120292
-1.969760393330691,2.0000000000000036,-1.969760393330691,1.500000572086894,-1.969760393330691,1.0000338289683244,-1.969760393330691,0.5171513447744974,-1.969760393330691,0.04424556862421869
-1.9328718987137825,2.0000000000000098,-1.9328718987137825,1.5000010458191453,-1.9328718987137825,1.0000551254907286,-1.9328718987137825,0.5163329963949164,-1.9328718987137825,0.05043699262911085
