ax_00_errorbar_data_x,ax_00_errorbar_data_y,ax_00_errorbar_data_yerr
0.0,10.0,1.1872700594236814
0.5,9.048374180359595,1.3801945712409176
1.0,8.187307530779819,1.1847277239836844
1.5,7.4081822068171785,1.040147462780236
2.0,6.703200460356394,0.7483293662568578
2.5,6.065306597126334,0.6845279198807348
3.0,5.488116360940264,0.5778534421781261
3.5,4.965853037914095,0.9296733766788772
4.0,4.493289641172216,0.7498864699888259
4.5,4.065696597405991,0.7606059486386219
5.0,3.6787944117144233,0.37817168831934356
5.5,3.3287108369807954,0.8178260097790767
6.0,3.0119421191220215,0.7174155323124131
6.5,2.725317930340126,0.37870134837315067
7.0,2.465969639416065,0.33750944754515677
7.5,2.231301601484298,0.3148324150751467
8.0,2.018965179946554,0.3540176394744242
8.5,1.8268352405273467,0.4450617398688536
9.0,1.6529888822158654,0.38127139754264444
9.5,1.4956861922263507,0.295183189321656
