ax_00_sns_bar_A,ax_00_sns_bar_B,ax_00_sns_bar_C
22.483570765056164,,
19.308678494144075,,
23.23844269050346,,
27.61514928204013,,
18.829233126383322,,
18.8293152152541,,
27.896064077536955,,
23.837173645764544,,
17.65262807032524,,
22.712800217929825,,
17.682911535937688,,
17.671351232148716,,
21.20981135783017,,
10.43359877671101,,
11.375410837434837,,
17.188562353795135,,
14.93584439832788,,
21.571236662976368,,
15.459879622393945,,
12.938481493323543,,
27.32824384460777,,
18.871118497567323,,
20.33764102343962,,
12.876259068932717,,
17.278086377374088,,
20.55461294854933,,
14.245032112888486,,
21.87849009172836,,
16.996806550405974,,
18.541531251033618,,
16.991466938853016,,
29.261390922544688,,
19.93251387631033,,
14.711445355220498,,
24.112724560515943,,
13.895781750144888,,
21.044317975023777,,
10.201649380601122,,
13.359069755507846,,
20.984306179345616,,
23.692332899977053,,
20.85684140594985,,
19.421758588058797,,
18.494481522053555,,
12.607390048162863,,
16.400778958026457,,
17.696806145201062,,
25.285611131094576,,
21.71809144784231,,
11.18479922318633,,
,37.268587785763565,
,32.30442403708578,
,30.26154599785829,
,39.28173402188607,
,42.216996657471654,
,41.51896083381339,
,29.12547733744153,
,32.8355133690415,
,37.31884401982495,
,41.828815889856514,
,31.64578033508297,
,33.70038716335328,
,27.255655181957803,
,26.626553631435304,
,40.687680756759384,
,44.49368019999576,
,34.49592914893766,
,42.02473028524417,
,37.53145217533344,
,30.48416171776413,
,37.5297692385589,
,45.766255965261784,
,34.74921772623034,
,45.952505590698046,
,16.66178427137179,
,40.75331753062657,
,35.609329477667195,
,32.90694854673893,
,35.64232543574852,
,21.08701759779375,
,33.46229678513742,
,37.49978800058223,
,45.34525831319061,
,31.37210847208447,
,29.340544779747688,
,31.487700694908245,
,41.40781482391452,
,37.30125776761779,
,31.29167857363073,
,38.59287203179349,
,35.67954284543628,
,41.780514933730224,
,30.085628342858534,
,32.706364973815624,
,32.2552429280749,
,24.75539536307517,
,37.07284193945203,
,36.827386905259225,
,35.03579419649723,
,33.35789006637397,
,,19.507775547697513
,,25.476128063407845
,,25.943712900839383
,,23.186336384670287
,,27.032285730003945
,,30.42430514088723
,,39.31711540726318
,,29.047466876991034
,,29.545302344336587
,,27.553324505402998
,,16.48737270820575
,,27.8409167473047
,,28.36138125964616
,,42.77945267491172
,,26.845834211313264
,,29.809284054001676
,,27.79172938176854
,,20.987931774282806
,,34.85693688709012
,,32.511598196120644
,,32.746191682258285
,,22.543675271231567
,,36.4167658656166
,,19.588893623246314
,,31.52114256280162
,,41.142733754859876
,,22.05678204921587
,,24.602213622383367
,,28.597908190525846
,,24.979146075302804
,,18.696019413603203
,,28.411377848836164
,,21.626177717643372
,,30.84155458381109
,,22.48345459459718
,,37.299606430105236
,,23.300480245982577
,,26.067630902765945
,,32.881103304218016
,,20.61481410139627
,,29.364759607624777
,,35.84285652569457
,,18.355100592632635
,,29.107803151193824
,,29.55929676549054
,,32.69093723066386
,,20.57829573473151
,,20.077260321494343
,,31.131649393701387
,,29.781908039399116
