ax_00_sns_box_sns_boxplot_A,ax_00_sns_box_sns_boxplot_B,ax_00_sns_box_sns_boxplot_C
0.4967141530112327,,
-0.13826430117118466,,
0.6476885381006925,,
1.5230298564080254,,
-0.23415337472333597,,
-0.23413695694918055,,
1.5792128155073915,,
0.7674347291529088,,
-0.4694743859349521,,
0.5425600435859647,,
-0.46341769281246226,,
-0.46572975357025687,,
0.24196227156603412,,
-1.913280244657798,,
-1.7249178325130328,,
-0.5622875292409727,,
-1.0128311203344238,,
0.3142473325952739,,
-0.9080240755212109,,
-1.4123037013352915,,
1.465648768921554,,
-0.22577630048653566,,
0.06752820468792384,,
-1.4247481862134568,,
-0.5443827245251827,,
0.11092258970986608,,
-1.1509935774223028,,
0.37569801834567196,,
-0.600638689918805,,
-0.2916937497932768,,
-0.6017066122293969,,
1.8522781845089378,,
-0.013497224737933921,,
-1.0577109289559004,,
0.822544912103189,,
-1.2208436499710222,,
0.2088635950047554,,
-1.9596701238797756,,
-1.3281860488984305,,
0.19686123586912352,,
0.7384665799954104,,
0.1713682811899705,,
-0.11564828238824053,,
-0.3011036955892888,,
-1.4785219903674274,,
-0.7198442083947086,,
-0.4606387709597875,,
1.0571222262189157,,
0.3436182895684614,,
-1.763040155362734,,
,2.324083969394795,
,1.6149177195836835,
,1.3230779996940414,
,2.6116762888408678,
,3.030999522495951,
,2.931280119116199,
,1.1607824767773613,
,1.6907876241487854,
,2.331263431403564,
,2.975545127122359,
,1.52082576215471,
,1.814341023336183,
,0.8936650259939718,
,0.8037933759193292,
,2.812525822394198,
,3.3562400285708227,
,1.927989878419666,
,3.003532897892024,
,2.361636025047634,
,1.3548802453948756,
,2.361395605508414,
,3.538036566465969,
,1.9641739608900484,
,3.564643655814006,
,-0.6197451040897444,
,2.821902504375224,
,2.087047068238171,
,1.7009926495341325,
,2.0917607765355024,
,0.0124310853991072,
,1.780328112162488,
,2.3571125715117462,
,3.4778940447415163,
,1.4817297817263526,
,1.1915063971068123,
,1.4982429564154636,
,2.915402117702074,
,2.3287511096596845,
,1.4702397962329612,
,2.513267433113356,
,2.0970775493480405,
,2.9686449905328893,
,1.2979469061226476,
,1.6723378534022317,
,1.6078918468678425,
,0.5364850518678814,
,2.296120277064576,
,2.261055272179889,
,2.005113456642461,
,1.7654128666248532,
,,1.8769438869243786
,,3.3690320158519613
,,3.485928225209846
,,2.796584096167572
,,3.7580714325009863
,,4.606076285221808
,,6.829278851815795
,,4.261866719247759
,,4.386325586084147
,,3.8883311263507494
,,1.1218431770514377
,,3.9602291868261745
,,4.09034531491154
,,7.694863168727929
,,3.7114585528283164
,,4.452321013500419
,,3.947932345442135
,,2.246982943570702
,,5.71423422177253
,,5.127899549030161
,,5.18654792056457
,,2.635918817807892
,,6.104191466404149
,,1.8972234058115784
,,4.880285640700405
,,7.285683438714968
,,2.514195512303967
,,3.150553405595842
,,4.1494770476314615
,,3.244786518825701
,,1.6740048534008007
,,4.102844462209041
,,2.4065444294108427
,,4.710388645952772
,,2.620863648649295
,,6.324901607526309
,,2.825120061495644
,,3.5169077256914867
,,5.220275826054505
,,2.153703525349067
,,4.341189901906194
,,5.960714131423642
,,1.5887751481581587
,,4.276950787798456
,,4.389824191372635
,,5.172734307665966
,,2.144573933682877
,,2.0193150803735858
,,4.782912348425347
,,4.445477009849779
