ax_00_sns_hist_bin_centers,ax_00_sns_hist_bin_counts,ax_00_sns_hist_bin_widths,ax_00_sns_hist_bin_edges_left,ax_00_sns_hist_bin_edges_right
-2.146121274352521,0,0.9472476594744466,-2.6197451040897444,-1.6724974446152978
-1.1988736148780745,0,0.9472476594744466,-1.6724974446152978,-0.7252497851408513
-0.251625955403628,1,0.9472476594744466,-0.7252497851408513,0.2219978743335953
0.6956217040708186,3,0.9472476594744466,0.2219978743335953,1.1692455338080419
1.6428693635452651,19,0.9472476594744466,1.1692455338080419,2.1164931932824884
2.5901170230197117,50,0.9472476594744461,2.1164931932824884,3.0637408527569345
3.5373646824941583,56,0.9472476594744474,3.0637408527569345,4.010988512231382
4.484612341968605,15,0.9472476594744457,4.010988512231382,4.958236171705828
5.4318600014430505,5,0.9472476594744457,4.958236171705828,5.905483831180273
1.6428693635452645,1,-8.525228935270018,5.905483831180273,-2.6197451040897444
-2.146121274352521,7,0.9472476594744466,-2.6197451040897444,-1.6724974446152978
-1.1988736148780745,41,0.9472476594744466,-1.6724974446152978,-0.7252497851408513
-0.251625955403628,71,0.9472476594744466,-0.7252497851408513,0.2219978743335953
0.6956217040708186,63,0.9472476594744466,0.2219978743335953,1.1692455338080419
1.6428693635452651,15,0.9472476594744466,1.1692455338080419,2.1164931932824884
2.5901170230197117,3,0.9472476594744461,2.1164931932824884,3.0637408527569345
3.5373646824941583,0,0.9472476594744474,3.0637408527569345,4.010988512231382
4.484612341968605,0,0.9472476594744457,4.010988512231382,4.958236171705828
5.4318600014430505,0,0.9472476594744457,4.958236171705828,5.905483831180273
6.379107660917497,0,0.9472476594744474,5.905483831180273,6.852731490654721
