ax_00_sns_scatter_x,ax_00_sns_scatter_y,ax_00_sns_scatter_hue
0.4967141530112327,-0.4219424360279489,B
-0.13826430117118466,-0.6971739251077284,B
0.6476885381006925,0.9526625596746154,A
1.5230298564080254,2.243782443594432,A
-0.23415337472333597,-0.6295924611126811,A
-0.23413695694918055,-0.0642230570838227,C
1.5792128155073915,5.044611532225313,B
0.7674347291529088,1.7094472711376565,C
-0.4694743859349521,-0.6813983811471398,A
0.5425600435859647,1.010674171405762,B
-0.46341769281246226,-2.845606600923966,C
-0.46572975357025687,-0.9579733825897306,B
0.24196227156603412,0.5441547530730947,C
-1.913280244657798,-1.3633183768303097,B
-1.7249178325130328,-3.642196629807188,A
-0.5622875292409727,-0.8230277161483329,A
-1.0128311203344238,-2.060374010374091,B
0.3142473325952739,-0.5401833724289843,C
-0.9080240755212109,-0.6732253365274012,A
-1.4123037013352915,-2.072674369983809,A
1.465648768921554,3.722329484886155,A
-0.22577630048653566,-1.3609400557678102,B
0.06752820468792384,1.537850720311947,B
-1.4247481862134568,-4.251347435219195,C
-0.5443827245251827,-0.501908355250095,C
0.11092258970986608,2.4123008052297106,C
-1.1509935774223028,-3.292523479975294,B
0.37569801834567196,0.185098307088572,B
-0.600638689918805,-1.1016260147499688,C
-0.2916937497932768,-1.0868631537027529,C
-0.6017066122293969,-2.7540766555249263,B
1.8522781845089378,3.773119343823903,C
-0.013497224737933921,-1.0892981632019727,A
-1.0577109289559004,-1.6418294272766192,B
0.822544912103189,0.7256655899725749,C
-1.2208436499710222,-0.891752894924505,B
0.2088635950047554,-0.3655261023267263,A
-1.9596701238797756,-4.241401763965227,B
-1.3281860488984305,-1.8428548804271911,B
0.19686123586912352,-0.8371418446957082,B
0.7384665799954104,1.7043930945949504,B
0.1713682811899705,1.649879316662369,A
-0.11564828238824053,-1.8387797993377086,B
-0.3011036955892888,-0.4175735326462734,B
-1.4785219903674274,-2.697161186486431,C
-0.7198442083947086,-0.6578655450121069,B
-0.4606387709597875,-2.158228252797657,C
1.0571222262189157,0.7937878393535551,A
0.3436182895684614,1.2091781447538206,A
-1.763040155362734,-3.2290956374922817,A
0.324083969394795,0.8986607891354665,A
-0.38508228041631654,-0.4237163513356574,C
-0.6769220003059587,-2.0338687221904084,B
0.6116762888408679,1.4556062748427394,A
1.030999522495951,2.355071518290583,B
0.9312801191161986,1.1482088202060292,C
-0.8392175232226385,0.18733946469947949,C
-0.3092123758512146,-0.14459183079064164,C
0.33126343140356396,-0.5287766343955207,A
0.9755451271223592,2.607643862878548,B
-0.47917423784528995,-1.9330301459179013,B
-0.18565897666381712,0.4157666504148178,B
-1.1063349740060282,-1.0540743690046523,C
-1.1962066240806708,-3.213095566513052,A
0.812525822394198,2.5884277740327177,C
1.356240028570823,3.1252609840781442,C
-0.07201012158033385,0.6780399168338223,B
1.0035328978920242,3.9038587784379954,C
0.36163602504763415,0.4778839340923978,B
-0.6451197546051243,-2.043975673567738,A
0.36139560550841393,-0.16672321860869543,B
1.5380365664659692,2.2602628479665,A
-0.03582603910995154,-0.14875378763400726,B
1.5646436558140062,3.4704392864446563,C
-2.6197451040897444,-4.962799408849469,C
0.8219025043752238,2.4709882577864715,A
0.08704706823817122,0.18709602835424946,A
-0.29900735046586746,0.8555193762255819,A
0.0917607765355023,-0.08113528016695148,B
-1.9875689146008928,-1.2549686626121668,B
-0.21967188783751193,0.18632357208998235,A
0.3571125715117464,-0.14293241339278973,C
1.477894044741516,1.8848955914219199,B
-0.5182702182736474,-0.5540680213041095,B
-0.8084936028931876,-1.840449991112226,B
-0.5017570435845365,-0.2895135930769811,A
0.9154021177020741,2.3040418599776933,A
0.32875110965968446,0.5846733066624962,A
-0.5297602037670388,-1.9063141256024827,A
0.5132674331133561,-0.48831235845915244,A
0.09707754934804039,-0.2523598533709403,C
0.9686449905328892,2.793688775389251,C
-0.7020530938773524,-1.1900124436245008,A
-0.3276621465977682,-1.9010630719075245,B
-0.39210815313215763,-0.6110353804131332,A
-1.4635149481321186,-2.5417125165354,C
0.29612027706457605,-0.2916168820719809,C
0.26105527217988933,0.6758356503053066,B
0.00511345664246089,0.06843563173092168,C
-0.23458713337514692,-1.612144564580917,A
