ax-row-0-col-0_trace-id-annotated-heatmap_variable-x,ax-row-0-col-0_trace-id-annotated-heatmap_variable-y,ax-row-0-col-0_trace-id-annotated-heatmap_variable-value
0,0,0.3745401188473625
1,0,0.9507143064099162
2,0,0.7319939418114051
3,0,0.5986584841970366
4,0,0.15601864044243652
0,1,0.15599452033620265
1,1,0.05808361216819946
2,1,0.8661761457749352
3,1,0.6011150117432088
4,1,0.7080725777960455
0,2,0.020584494295802447
1,2,0.9699098521619943
2,2,0.8324426408004217
3,2,0.21233911067827616
4,2,0.18182496720710062
0,3,0.18340450985343382
1,3,0.3042422429595377
2,3,0.5247564316322378
3,3,0.43194501864211576
4,3,0.2912291401980419
0,4,0.6118528947223795
1,4,0.13949386065204183
2,4,0.29214464853521815
3,4,0.3663618432936917
4,4,0.45606998421703593
