ax-row-0-col-0_trace-id-sns-swarmplot-0_variable-data-a,ax-row-0-col-0_trace-id-sns-swarmplot-0_variable-data-b,ax-row-0-col-0_trace-id-sns-swarmplot-0_variable-data-c
0.8159876963033538,,
,0.25188888866590065,
,,3.1566249883255786
-0.8283273919750229,,
,,2.3689708339614994
,2.326360398526022,
,,2.177084658432691
2.0432699473188167,,
-0.7773050240737986,,
,,2.168881467212959
0.9146238864216858,,
-0.823015716689968,,
,-0.11473418893849385,
,,2.503643733889157
,,1.9877499511047008
0.23265424520135605,,
,,3.1827811065230116
,1.5359061271941266,
,1.7686959082175282,
,0.6859611767001283,
-0.17652968289396279,,
,,1.614182328784364
-0.8118147946414511,,
,0.9596074810405513,
-0.20820675408792866,,
0.5836288446460244,,
3.2260493632458638,,
,0.7946250981454259,
,,2.2069327887105006
,,3.8114052177101154
,1.7031634185646212,
,,1.7872742571763303
0.4624552618389169,,
-0.7464443231228705,,
,,1.8324560007300368
,,1.5874516487384953
,0.5103784945951773,
,1.3346350690478412,
,0.5837732055455226,
0.7090550597343904,,
,,2.5436392115203796
1.5299834076997236,,
,,3.1642916226403637
,0.5775074969163281,
0.011669512882328826,,
,2.707754029743887,
0.8926876407845438,,
,2.8089695254908724,
,,1.6766122736018496
,0.8080510149358613,
,,2.2667727878133763
,0.18014213842715165,
-0.1544084613553874,,
,,0.27288759462081313
,0.9542851565133983,
-0.5228184706727106,,
,0.8233392059979825,
,,1.5501330489392953
,2.014950085194429,
,,2.1772484944983552
-0.32020259203654033,,
,-0.5836522620990341,
,0.5735466705445258,
,,1.322672223997066
,-0.0077157642498231205,
,,1.5782939810897956
,,2.860393950783023
,,1.5413264124119455
,,2.391789429539098
,,1.0938573718296756
,,2.359550854410651
,,1.958556812180646
-0.3739065415935337,,
-0.11294123736850568,,
,,1.800446657967992
,2.636937972749587,
1.1272781526140012,,
,,2.2484244223551046
,2.2969557675600463,
1.4619497954806062,,
0.32261905954604864,,
,1.050265563206459,
,0.14671086685624868,
,,4.5797009159814115
,-0.7876863612569802,
0.26935705005466626,,
,,0.5701435923346756
,,1.4457192599972117
,1.0408338990326427,
,,0.9132205634092962
0.22432158748519984,,
-0.4197581509660244,,
0.13400792080176122,,
,,2.3658751963505007
,2.4105040841867593,
,,2.9411888605425265
,,3.4921632604620663
,,2.1038043127195873
,1.1764025782265422,
,-0.9168969715591537,
