ax-row-0-col-0_trace-id-stx-heatmap-0_variable-x,ax-row-0-col-0_trace-id-stx-heatmap-0_variable-y,ax-row-0-col-0_trace-id-stx-heatmap-0_variable-value
0,0,0.8748788717889527
1,0,0.8302222229456551
2,0,0.81827698527459
3,0,0.58850326126462
4,0,0.5457701728968094
0,1,0.8183089276236541
1,1,0.38421915905904924
2,1,0.9894932638107163
3,1,0.9781155217144766
4,1,0.3074843603341656
0,2,0.6971020521159682
1,2,0.5303456483638384
2,2,0.8983295627952723
3,2,0.8768123953725028
4,2,0.21152345721812804
0,3,0.9442805343203863
1,3,0.8454108382400184
2,3,0.5102760334406526
3,3,0.8452950139669198
4,3,0.801938231161251
0,4,0.9990357080557768
1,4,0.5089730356903132
2,4,0.2354830840641522
3,4,0.8012836764700987
4,4,0.6168700294883592
