ax-row-0-col-0_trace-id-stx-median-iqr-0_variable-x,ax-row-0-col-0_trace-id-stx-median-iqr-0_variable-y_lower,ax-row-0-col-0_trace-id-stx-median-iqr-0_variable-y_middle,ax-row-0-col-0_trace-id-stx-median-iqr-0_variable-y_upper
0,-0.6665499493818816,0.032672176250131815,0.6899907703391556
1,-0.7019220159601537,-0.011789547616629401,0.8898212177084883
2,-0.4558630390819266,0.09007044868536832,0.7833076655501114
3,-0.5804569191535127,0.2660213335080627,0.8459293114022874
4,-0.5029269502607796,0.10410886760748392,0.5725694116829714
5,-0.34449953710254866,0.2546713386702733,0.8500457905073961
6,-0.38586867687474635,0.17800913617440847,0.6140561554647999
7,-0.46104627393398645,0.059639234922716236,0.710877449077079
8,-0.3715558092818562,0.3695036249590391,0.9091990495056892
9,-0.3443688866910868,0.3402963919485016,0.991734109412969
10,-0.2036941152265992,0.4711070754614399,1.1327150395534424
11,-0.06687178963842885,0.5370230617408573,1.3160199397470445
12,-0.09082446411759537,0.608532204652525,1.1425956426611057
13,-0.03406793003500713,0.7210908054302597,1.3443672088297727
14,-0.11343645983019321,0.7535933112427383,1.308253619398956
15,0.01392461447530094,0.5669625351818609,1.3030775468750633
16,0.0634135020251334,0.8217743628429063,1.4151218263353105
17,-0.0023148284609103287,0.7899929292141422,1.635382400768002
18,0.11539243832115914,0.7166409155717747,1.3023492174045177
19,-0.03854791875846608,0.6791983353689919,1.3786118343453255
20,0.3083199999403726,0.8653054559835357,1.669624080205416
21,0.2721431111018103,0.8261172588506648,1.5288164657753003
22,0.2804829267084338,1.10188822807345,1.707157103978699
23,0.31928172162402313,0.868967673481629,1.6689737334165855
24,0.2884535649589546,0.791105503699224,1.429035473683439
25,0.39690881556067403,1.1223134081541657,1.6294281618095716
26,0.6516810304043471,1.0538584284803876,1.7820742256500597
27,0.17076992017773246,0.9478849419794717,1.768678968536184
28,0.810374907948595,1.4127777355761693,2.1126220923214336
29,0.42869306162704734,1.133443603157891,1.8497058110224465
30,0.49000809058755856,1.2127534769976123,2.166321851691327
31,0.5152962008938844,1.1223152742004772,1.8193635888771416
32,0.5411135205469939,1.341228472456247,1.7253173517760478
33,0.6418924289838064,1.3722094262461026,2.095572782188505
34,0.6963423490626397,1.4532343704218174,1.9440991554510698
35,0.9658981537556409,1.5588660705505637,2.1301257786643
36,0.48363857430716994,1.4277364265551356,2.164240923456388
37,0.9354886971517091,1.7008761830894057,2.5167797000545
38,0.7915728101179277,1.703909746480046,2.3181955008888995
39,0.763495414606999,1.605063463856387,2.1681420713574386
40,0.866886187518896,1.5720825847147646,2.1145390251750564
41,0.9085144094947022,1.7651356088927208,2.504264357771585
42,1.0468559008629583,1.593645683952178,2.424293443095088
43,1.0739152567949088,1.8030238120724928,2.4304516850778555
44,1.116945947927303,1.7736930998241849,2.2203855523724223
45,1.1953560530650817,1.7678798474136268,2.4117025868420354
46,1.1212397596735664,1.8478504362993255,2.620921555119974
47,1.2818781282791574,1.9011091805666511,2.568421682565472
48,1.2869607340681026,1.8608086152569667,2.800313737349485
49,1.3542899972627631,2.006065246007169,2.74999106102369
