ax-row-0-col-0_trace-id-stx-mean-ci-0_variable-x,ax-row-0-col-0_trace-id-stx-mean-ci-0_variable-y_lower,ax-row-0-col-0_trace-id-stx-mean-ci-0_variable-y_middle,ax-row-0-col-0_trace-id-stx-mean-ci-0_variable-y_upper
0,-1.8550995641362245,-0.022295749981683113,1.7972852923434737
1,-2.027483045707152,0.08242041777447286,1.8902442858735
2,-2.3351412852488362,-0.05457753360292252,1.8712337225905684
3,-1.624676421357784,-0.054070003591901256,2.0089121105365604
4,-1.4489105035115837,0.18064839042384812,1.8215845973863785
5,-1.670117062484076,0.18537995953931405,2.161993810311525
6,-1.6221851284761102,0.23406726118370963,1.7842286643700123
7,-1.4222724968151361,0.3959053739972383,2.048977603002939
8,-1.4667717111962733,0.39994232516419986,2.471266137083278
9,-1.4768128732111119,0.5467356554382168,2.506958130971839
10,-1.5511624029708313,0.690771836712362,2.4809307680311434
11,-1.315207841977004,0.5418634421169937,2.6585255610953533
12,-1.5145185070078697,0.3975282347477361,2.1272192143142625
13,-1.2945153799809812,0.5557372260708618,2.007280006379677
14,-1.0743408160713104,0.706104105412752,2.8751238380538
15,-1.1591489666257753,0.722621282326548,3.0839034654023676
16,-1.571241835678547,0.7609435403095,2.7714130252503377
17,-1.3660949556441866,0.6061049476385801,2.5360425140575344
18,-1.247450896954837,0.8045598608664777,2.68224468843024
19,-0.8307385845686134,0.8262046157746191,2.798631953203571
20,-1.3958195653592145,0.7755278933927208,2.941147609396153
21,-0.8754119537642652,0.8200539100579728,2.622380233846248
22,-1.1229642210831003,0.8200086905945436,2.4968812729559313
23,-0.9292390018086061,1.015676861141911,2.7515752412200616
24,-0.9876219381917901,1.0303137465498504,3.1061791306840147
25,-0.9613230658342545,0.8061533226520448,2.359844196702593
26,-0.8644561719585825,1.0452507660718757,2.9152210256315105
27,-0.6311023045018237,1.0160441853477642,2.5039657995577804
28,-0.7737188736389924,1.1312436065214317,2.824270221043127
29,-0.4849200850960634,1.1119297474623628,2.760649915719974
30,-0.24041081584348195,1.2407901346155115,2.863578359066854
31,-0.58853952807132,1.409885765836572,3.408198498299015
32,-0.7631830470704778,1.3247284821251617,3.431380759864687
33,-0.12197335235680429,1.3289277842423406,3.1297851056980965
34,-0.8217952013118721,1.369449565953003,3.1809599502235635
35,-0.6211529977934419,1.1845924414534892,2.868932676778813
36,-0.6479861615022791,1.4644145333117629,2.970186065616057
37,-0.0888649898616693,1.5873153401647864,3.3587812096492353
38,-0.2582188589222458,1.6476202708108445,3.3782321899476035
39,-0.407898664567707,1.7632605747683234,3.79961886712412
40,0.2143299484934838,1.5832084234119008,3.435322634375492
41,-0.1964435352960494,1.6704706337697457,3.3833017678152832
42,0.22381591938520026,1.7492657415111372,3.3309870488022577
43,-0.561078103968263,1.75661461096111,3.9277119082374643
44,0.04707789203529536,1.7470696184093,3.5265965841243783
45,-0.08190935804068007,1.795647898418003,3.6706530739087175
46,0.3960187824801187,1.9201559816977884,3.883668292762969
47,-0.3410233560973606,1.94416267014791,3.9549836905266087
48,0.10724251182183427,1.854701589959034,3.639397452795107
49,0.4120780241252378,2.1509914393203204,4.097041753639249
