ax-row-0-col-0_trace-id-stx-ecdf-0_variable-ecdf_x,ax-row-0-col-0_trace-id-stx-ecdf-0_variable-ecdf_y,ax-row-0-col-0_trace-id-stx-ecdf-0_variable-ecdf_n,ax-row-0-col-0_trace-id-stx-ecdf-0_variable-ecdf_x_step,ax-row-0-col-0_trace-id-stx-ecdf-0_variable-ecdf_y_step
-2.778983456081501,0.5,200.0,-2.778983456081501,0.5
-2.6980179862803833,1.0,,-2.6980179862803833,0.5
-2.3316112876482555,1.5,,-2.6980179862803833,1.0
-2.0969142720187612,2.0,,-2.3316112876482555,1.0
-1.9873874248838506,2.5,,-2.3316112876482555,1.5
-1.9870169718607693,3.0,,-2.0969142720187612,1.5
-1.9475228611752262,3.5,,-2.0969142720187612,2.0
-1.8653630578819365,4.0,,-1.9873874248838506,2.0
-1.8218162412669399,4.5,,-1.9873874248838506,2.5
-1.8180442001969985,5.0,,-1.9870169718607693,2.5
-1.8092987293246305,5.5,,-1.9870169718607693,3.0
-1.763134841451433,6.0,,-1.9475228611752262,3.0
-1.7314682594752124,6.5,,-1.9475228611752262,3.5
-1.6998536551827124,7.0,,-1.8653630578819365,3.5
-1.6990866884402105,7.5,,-1.8653630578819365,4.0
-1.6632335344318607,8.0,,-1.8218162412669399,4.0
-1.6479408638062651,8.5,,-1.8218162412669399,4.5
-1.6413751987727552,9.0,,-1.8180442001969985,4.5
-1.5226561179542373,9.5,,-1.8180442001969985,5.0
-1.48203427726424,10.0,,-1.8092987293246305,5.0
-1.4609164893101625,10.5,,-1.8092987293246305,5.5
-1.446625415574341,11.0,,-1.763134841451433,5.5
-1.4209062250673314,11.5,,-1.763134841451433,6.0
-1.4088557153010621,12.0,,-1.7314682594752124,6.0
-1.3370788704369214,12.5,,-1.7314682594752124,6.5
-1.3091900160840653,13.0,,-1.6998536551827124,6.5
-1.2774368762696477,13.5,,-1.6998536551827124,7.0
-1.2682434212430005,14.0,,-1.6990866884402105,7.0
-1.1735863155022408,14.5,,-1.6990866884402105,7.5
-1.167584069928442,15.0,,-1.6632335344318607,7.5
-1.158384725770307,15.5,,-1.6632335344318607,8.0
