ax-row-0-col-0_trace-id-stem-0_variable-x,ax-row-0-col-0_trace-id-stem-0_variable-y
0,0.0997955637686403
1,-0.5525368431644806
2,-0.21220042715520915
3,0.28609046255448667
4,0.43700100018936205
5,-0.8126980925689427
6,-0.5029317440977905
7,0.6821437463118045
8,-0.624651672922188
9,0.5775587023349718
10,-0.795371644276385
11,-0.035810868413447716
12,0.5865270063975618
13,-0.8100796378516033
14,-0.5614443463743541
15,-0.5974749540073454
16,-0.8637137268891018
17,0.5607795703058771
18,0.1353944227967967
19,0.9496703371326531
