ax-row-0-col-0_trace-id-stx-line-0_variable-x,ax-row-0-col-0_trace-id-stx-line-0_variable-y
0,-0.2016334425122961
1,0.25199223239803303
2,0.30838407677353896
3,0.37146671457321295
4,0.4411621779981766
5,0.596327533453218
6,0.6213604796537051
7,0.8651893252748988
8,0.8119270603517914
9,0.7554380072146971
10,0.9722363799592788
11,1.1163024739542602
12,0.9320817236121595
13,0.9490825528822934
14,1.0577560099936252
15,0.9454991682758205
16,0.7903317059895438
17,0.7907798822382068
18,0.7606911175363751
19,0.6557615208069505
20,0.5244106962331804
21,0.4638064310282235
22,0.06901022357922587
23,0.22332720624674507
24,0.12320889333345557
25,-0.12694643604648642
26,-0.12187681774968931
27,-0.1991218432528808
28,-0.579877037248544
29,-0.37823737267826696
30,-0.6965161827406188
31,-0.6242294016382577
32,-0.8447117223774006
33,-0.8442023236293298
34,-0.7167218825091395
35,-1.0222578257636086
36,-0.9474845973547907
37,-0.9342071134983998
38,-1.0945842242840662
39,-1.0359975867672695
40,-0.9369454176501324
41,-0.6981604840186517
42,-0.766600837201274
43,-0.6562110696199958
44,-0.4837798387874981
45,-0.6111891966894304
46,-0.38283480741412185
47,-0.2982701552464331
48,-0.26953805955542154
49,-0.2100170584042311
50,0.051505016554629544
51,0.14021559924831473
52,0.4788470955784121
53,0.5111913683232419
54,0.43001127454850907
55,0.5667213634073703
56,0.7581277619322148
57,0.6031555881021317
58,0.7690781456224829
59,0.9925445977144103
60,0.9648022729261667
61,0.9588389824487968
62,1.1575675952470008
63,0.8890209246689514
64,1.069228631272443
65,0.9092237196649418
66,0.8296127051337666
67,0.5072443778747837
68,0.6332930867248621
69,0.5627165777761731
70,0.7209464819306007
71,0.41281381652068194
72,0.38923736542583787
73,0.1728432675445347
74,-0.12818994181025456
75,-0.13270155417671442
76,-0.23402337135394216
77,-0.34435828892117853
78,-0.5517012866854509
79,-0.5437217286600174
80,-0.8453535816092679
81,-0.6602978856966171
82,-0.8262288764476579
83,-0.9908128456679623
84,-1.0344130965674607
85,-1.2777438275741602
86,-1.0663073057899342
87,-0.9557463813846135
88,-0.837962957450422
89,-0.8713855385551451
90,-0.9051274905047129
91,-0.7134349215630508
92,-0.7623450610924363
93,-0.7081494142693509
94,-0.48390935333388774
95,-0.556950021073447
96,-0.23468179607648923
97,-0.18705113225747438
98,-0.1000473567951317
99,0.06924694596251563
