ax-row-0-col-0_trace-id-imshow-0_variable-row,ax-row-0-col-0_trace-id-imshow-0_variable-col,ax-row-0-col-0_trace-id-imshow-0_variable-value
0,0,0.934958345238128
0,1,0.27628119572295506
0,2,0.6256149686371926
0,3,0.8043825790491776
0,4,0.47734583032026756
0,5,0.0448071713374083
0,6,0.3301749361480455
0,7,0.3997702520625619
0,8,0.5566338933380683
0,9,0.5607011890935775
1,0,0.3264496728989229
1,1,0.8423032284985512
1,2,0.5908050265821155
1,3,0.522378583879994
1,4,0.9172831310966009
1,5,0.09222312916735831
1,6,0.48715168904187534
1,7,0.08616087217126223
1,8,0.7326986245006097
1,9,0.28454929211640545
2,0,0.5435103517430324
2,1,0.32459816282331
2,2,0.2521024903098661
2,3,0.25910780386315935
2,4,0.4246359851591558
2,5,0.27460056746258366
2,6,0.6719051839650494
2,7,0.07983688223178798
2,8,0.6836598530204984
2,9,0.547614069711632
3,0,0.7159097512801743
3,1,0.6346526019976219
3,2,0.29951901125031144
3,3,0.4014176623602489
3,4,0.5841679136851048
3,5,0.7889935753813594
3,6,0.26353826404901426
3,7,0.22646127678844197
3,8,0.9802158130469875
3,9,0.6261744031217348
4,0,0.43753714343598205
4,1,0.02704338417188601
4,2,0.7788263083469629
4,3,0.1846467296376192
4,4,0.0044871613014138
4,5,0.531305696240492
4,6,0.768592879176503
4,7,0.25531257717747935
4,8,0.17093923350551887
4,9,0.17210160242897832
5,0,0.7977261894514108
5,1,0.14484188545743493
5,2,0.8003918898661012
5,3,0.9990729759427939
5,4,0.5242715417290554
5,5,0.4959217935125191
5,6,0.9832876485606794
5,7,0.20285845579299389
5,8,0.7442828313679738
5,9,0.04974899178101011
6,0,0.906899727003289
6,1,0.8971738241417504
6,2,0.7720328669175486
6,3,0.5176729474731933
6,4,0.6414857516454485
6,5,0.6658425591525988
6,6,0.7863335611921293
6,7,0.049187748393440645
6,8,0.07421924512119582
6,9,0.34853337390032035
7,0,0.3264823314125207
7,1,0.24967242720595573
7,2,0.857573443506038
7,3,0.5874924482796029
7,4,0.06467696539082468
7,5,0.8983718138146948
7,6,0.15756031636156764
7,7,0.7845796730678846
7,8,0.748928766974821
7,9,0.12175515803101511
8,0,0.8824233563724425
8,1,0.8839587247052295
8,2,0.016375967161330274
8,3,0.0017211866557435007
8,4,0.3328221170873624
8,5,0.27724450364956
8,6,0.9600159469568954
8,7,0.058334224314789296
8,8,0.03317431757861511
8,9,0.520740577036059
9,0,0.896522591836366
9,1,0.2686936127998538
9,2,0.7327523227594014
9,3,0.3675385884414615
9,4,0.2389964213759198
9,5,0.5314120988835569
9,6,0.24717782819028788
9,7,0.797061455918332
9,8,0.32558958437542485
9,9,0.15333431017187316
