ax-row-0-col-0_trace-id-sns-barplot-0_variable-data-a,ax-row-0-col-0_trace-id-sns-barplot-0_variable-data-b,ax-row-0-col-0_trace-id-sns-barplot-0_variable-data-c
-1.526737192958252,,
,,2.894156139200888
-1.6213654204763042,,
,0.8360325174824074,
,0.002230769871440774,
,1.7012728774151995,
,3.2310642619467846,
,2.3763436723859095,
-0.2972500498729291,,
,-0.0308871654946008,
,,1.9655066664333813
,,2.129728291914779
,,0.497814749166855
0.07535955187280804,,
,-1.0220520885820235,
,0.01596491546270784,
,1.9848669033881263,
,-0.9210321638781529,
-2.005623042357456,,
,1.6263808027053501,
1.0760121924996437,,
1.1141365131281682,,
,1.1127874489266287,
,,2.817900767588064
2.2682182751199154,,
,0.8895825807013813,
,,3.357425417317566
1.0536031424304775,,
0.7882188291042733,,
,0.6450078500297549,
0.748452210242506,,
,,1.6050110400106834
,,1.571976688086599
,,0.24289752766321304
-0.37968433379402977,,
,,1.3554993471295038
0.5360669359725811,,
,0.12322545969052445,
1.3367204540572757,,
-0.5270327498337811,,
,-1.2836923655933101,
,,2.584795556246497
-0.6073316418066537,,
-2.339419519535093,,
0.7135181503401395,,
-0.9300351626434503,,
,1.2961013012678886,
,2.6544087680026847,
,1.6948400405247812,
-0.7855104230730136,,
,1.155404014016667,
,1.5772177638309914,
1.1513684678381428,,
,,1.227291895204527
-0.04663104121110638,,
,,2.539799076502433
,,2.4060628080221678
,,3.3195473121908163
,,1.6482133074263554
-0.3613938840105447,,
,1.1652391392035633,
-0.22006062231812804,,
0.29865521567007447,,
-0.7861048459100002,,
,,3.2314920429085072
,1.4736655171689617,
-0.21387339832640898,,
,,1.9181255349754578
,1.2782521154993067,
,0.8265769148325064,
,,2.957180656764562
,0.25993381905317503,
,0.4039358400335916,
-0.5065198443299114,,
0.8575023371787748,,
-1.9008153027956827,,
,,1.390376000366092
-0.7394510887546746,,
,,0.8804767538583413
-0.12805949056111263,,
,0.8721506697944941,
,,2.361178106489733
,,2.77438776985215
,,1.2417796139474058
,0.6401095248568907,
,0.9979746288261274,
,,1.5704841137117063
-0.48345321019081605,,
1.8493545789843313,,
0.18745338516395743,,
,0.816252550796234,
,,1.448540859770448
1.5291244299416509,,
,,2.5583705988067873
,,0.5736358942564705
,1.935825314909657,
,0.7248059379256722,
,,3.617348481995798
,,1.3076007555161628
0.12776851297008854,,
