ax-row-0-col-0_trace-id-plot-0_variable-x,ax-row-0-col-0_trace-id-plot-0_variable-y,ax-row-0-col-0_trace-id-stx-fillv-0_variable-x,ax-row-0-col-0_trace-id-stx-fillv-0_variable-y,ax-row-0-col-0_trace-id-stx-fillv-0_variable-type
0,0.0,20.0,0.0,start
1,0.12659245357374926,40.0,0.0,end
2,0.2511479871810792,60.0,0.0,start
3,0.3716624556603276,80.0,0.0,end
4,0.4861967361004687,,,
5,0.5929079290546404,,,
6,0.690079011482112,,,
7,0.7761464642917568,,,
8,0.8497254299495144,,,
9,0.9096319953545183,,,
10,0.9549022414440739,,,
11,0.984807753012208,,,
12,0.998867339183008,,,
13,0.9968547759519424,,,
14,0.9788024462147787,,,
15,0.9450008187146685,,,
16,0.8959937742913359,,,
17,0.8325698546347714,,,
18,0.7557495743542583,,,
19,0.6667690005162917,,,
20,0.5670598638627709,,,
21,0.4582265217274105,,,
22,0.3420201433256689,,,
23,0.2203105327865408,,,
24,0.09505604330418244,,,
25,-0.03172793349806786,,,
26,-0.15800139597335008,,,
27,-0.28173255684142984,,,
28,-0.4009305354066138,,,
29,-0.5136773915734064,,,
30,-0.6181589862206053,,,
31,-0.7126941713788629,,,
32,-0.7957618405308321,,,
33,-0.8660254037844388,,,
34,-0.9223542941045814,,,
35,-0.9638421585599422,,,
36,-0.9898214418809327,,,
37,-0.9998741276738751,,,
38,-0.9938384644612541,,,
39,-0.9718115683235417,,,
40,-0.9341478602651068,,,
41,-0.881453363447582,,,
42,-0.8145759520503358,,,
43,-0.7345917086575332,,,
44,-0.6427876096865396,,,
45,-0.5406408174555974,,,
46,-0.4297949120891719,,,
47,-0.31203344569848707,,,
48,-0.18925124436040974,,,
49,-0.06342391965656452,,,
50,0.06342391965656492,,,
51,0.18925124436041013,,,
52,0.31203344569848745,,,
53,0.4297949120891715,,,
54,0.5406408174555978,,,
55,0.6427876096865391,,,
56,0.7345917086575334,,,
57,0.8145759520503356,,,
58,0.8814533634475821,,,
59,0.9341478602651067,,,
60,0.9718115683235418,,,
61,0.9938384644612541,,,
62,0.9998741276738751,,,
63,0.9898214418809328,,,
64,0.963842158559942,,,
65,0.9223542941045816,,,
66,0.8660254037844383,,,
67,0.7957618405308319,,,
68,0.7126941713788629,,,
69,0.6181589862206056,,,
70,0.5136773915734058,,,
71,0.40093053540661344,,,
72,0.2817325568414299,,,
73,0.15800139597335056,,,
74,0.03172793349806701,,,
75,-0.09505604330418282,,,
76,-0.22031053278654034,,,
77,-0.342020143325668,,,
78,-0.45822652172741085,,,
79,-0.5670598638627707,,,
80,-0.6667690005162913,,,
81,-0.7557495743542588,,,
82,-0.8325698546347716,,,
83,-0.8959937742913359,,,
84,-0.9450008187146683,,,
85,-0.9788024462147789,,,
86,-0.9968547759519424,,,
87,-0.998867339183008,,,
88,-0.9848077530122081,,,
89,-0.9549022414440737,,,
90,-0.9096319953545183,,,
91,-0.8497254299495145,,,
92,-0.7761464642917573,,,
93,-0.6900790114821116,,,
94,-0.5929079290546404,,,
95,-0.48619673610046904,,,
96,-0.3716624556603267,,,
97,-0.2511479871810788,,,
98,-0.1265924535737493,,,
99,-4.898587196589413e-16,,,
