ax-row-0-col-0_trace-id-stx-imshow-0_variable-row,ax-row-0-col-0_trace-id-stx-imshow-0_variable-col,ax-row-0-col-0_trace-id-stx-imshow-0_variable-value
0,0,0.19075444564469557
0,1,0.06364280125064525
0,2,0.23790733894406224
0,3,0.21351333277526763
0,4,0.10646328152670148
0,5,0.1682665117485722
0,6,0.0892682869382444
0,7,0.8211440549454367
0,8,0.284017106249822
0,9,0.42749112295791625
1,0,0.056742708020431354
1,1,0.6035019985775272
1,2,0.07271683244041915
1,3,0.5129223765129586
1,4,0.9253143007466071
1,5,0.1227840601567477
1,6,0.5309269248961385
1,7,0.11324415201125615
1,8,0.406106606173124
1,9,0.568483368947387
2,0,0.3098628309756717
2,1,0.001706845226416065
2,2,0.3430760422846817
2,3,0.8700440615219257
2,4,0.7000334156220384
2,5,0.010990457030245815
2,6,0.8093645492760255
2,7,0.3457679744369502
2,8,0.596814490964534
2,9,0.3043347398024191
3,0,0.9887704299342553
3,1,0.20535367910434443
3,2,0.9852005272924049
3,3,0.105179955611441
3,4,0.3212047594002474
3,5,0.3069971354894806
3,6,0.05452440686503335
3,7,0.014052160453008278
3,8,0.9026740499299775
3,9,0.5012110919010386
4,0,0.2937651826505653
4,1,0.49479109979340985
4,2,0.8947192754903909
4,3,0.7325225650334276
4,4,0.009356999170175517
4,5,0.8529635907276347
4,6,0.12648324757581098
4,7,0.05105618031901271
4,8,0.28253307537640204
4,9,0.31753890501396
5,0,0.39826723054919033
5,1,0.2303956522898346
5,2,0.649658538800949
5,3,0.38279698120126027
5,4,0.514112761575033
5,5,0.4534329946754483
5,6,0.4137128808822885
5,7,0.9891178721631707
5,8,0.3981932970655344
5,9,0.48893605393866946
6,0,0.4279008880232925
6,1,0.1061439022611933
6,2,0.6291700561843937
6,3,0.9808060875974565
6,4,0.26459649181567557
6,5,0.5490874850982035
6,6,0.6223839580082944
6,7,0.5436722607688333
6,8,0.5532216353715877
6,9,0.21833414168102672
7,0,0.5532766202393867
7,1,0.8030504415328447
7,2,0.04999603213093584
7,3,0.25894167609438723
7,4,0.4751801293174467
7,5,0.572434456862001
7,6,0.08933102764872614
7,7,0.4470234178774677
7,8,0.9103938377451852
7,9,0.7190970138222909
8,0,0.5967000316953143
8,1,0.837242934596308
8,2,0.7741942743697662
8,3,0.391736364417255
8,4,0.1558082326532798
8,5,0.49103642501341105
8,6,0.6295078076349702
8,7,0.7481056916688724
8,8,0.728889487528619
8,9,0.09613888325773756
9,0,0.5576979255447673
9,1,0.9974169505227458
9,2,0.735201279999849
9,3,0.7791113118219563
9,4,0.0021228854603956293
9,5,0.7882309383328845
9,6,0.9593667668003687
9,7,0.039450042464306834
9,8,0.7977053537642024
9,9,0.7817871234539759
