ax-row-0-col-0_trace-id-plot-0_variable-x,ax-row-0-col-0_trace-id-plot-0_variable-y
0,2.75861485370809
1,9.412788040461152
2,1.7540187736902524
3,8.338588234359534
4,2.8101251091846304
5,6.563413475570117
6,3.7154173630382434
7,4.604682615929145
8,8.233520243402513
9,6.150601298474735
10,8.678305004087974
11,7.951668862642468
12,0.9121998344011817
13,0.492698066157371
14,0.027529132791784816
15,5.335737152057527
16,9.387186104596168
17,3.469338999869742
18,4.275369551783119
19,9.172201476362133
