ax-row-0-col-0_trace-id-stackplot-0_variable-x,ax-row-0-col-0_trace-id-stackplot-0_variable-a,ax-row-0-col-0_trace-id-stackplot-0_variable-b,ax-row-0-col-0_trace-id-stackplot-0_variable-c
0,1.4259180992638758,2.0570816774000464,1.348398009082744
1,1.606834063567604,1.0066216894391748,1.7326845553862062
2,1.4185473923713834,2.994360010831283,2.55416633102976
3,2.8048070684904243,1.2632861981646082,2.7840003874477475
4,2.100960464325029,1.513836493729224,1.9406756814204207
5,2.8856648203451116,2.1956117366117573,1.6827868576515899
6,2.8380171749113914,2.6542604230155167,1.1300117551154603
7,2.07457721140191,2.925505604231679,2.240985138413798
8,2.5095359573270763,1.8932455991153225,1.3530435274402117
9,2.5186498025435524,1.0006259547557412,1.0902077694774848
