ax-row-0-col-0_trace-id-sns-violinplot-0_variable-data-a,ax-row-0-col-0_trace-id-sns-violinplot-0_variable-data-b,ax-row-0-col-0_trace-id-sns-violinplot-0_variable-data-c
,,2.801796700070854
,,2.0201573442364116
,1.552621659682662,
,0.7984393761596636,
,,1.371791335532429
-0.11122579263762285,,
,1.484462775627521,
1.3936480000565226,,
,1.2050799910652301,
1.1116554437641615,,
,,1.9732240264024634
,,3.630443400210244
,,1.4558343152066346
,2.814744720722338,
,,0.6539654993977837
,,2.4231252969877266
,,0.16886613869578904
,2.2501000189828417,
0.33717675145566134,,
1.3462394094030763,,
-0.23635547978979835,,
-0.8001356006839548,,
0.9110303038865786,,
,1.799389857876571,
0.010951322670530053,,
,2.0039599108180766,
,,2.219314072365571
0.2654776687623803,,
,1.9233699526069934,
,,3.6706592953821393
,,1.121933519179766
,0.32172995247283454,
0.23672733612811506,,
,1.0295268746013042,
,1.7406780063836185,
,,2.1998693547323516
,0.37051653435627396,
,,1.32951393427283
1.310425477741439,,
,,2.564403134760341
0.7102860445912873,,
,,3.4872662526167826
,1.6598425771793015,
,0.4518388950517407,
,,3.2867733548450815
,,1.8698870036494424
,,1.1640545258024826
0.9387273507852618,,
,2.2552163786222357,
,,2.4413509610379207
,2.1598756693184606,
-1.0143421488556126,,
,,2.5055302849945296
,,4.034163818278132
,,2.3005858253908342
-0.2754755943811834,,
-2.017209554163784,,
,0.8649196389603591,
,,3.204302048524495
,,1.7002990744831723
,,2.2729631685898912
,1.5538158465652554,
,,1.6970534984967216
,,0.8892878033726948
,0.5158993631857381,
,0.15219539894169853,
,,3.3223589170801384
,,2.8090433597360818
-1.2129161870427476,,
,-0.6768992924240569,
,,3.4733697828953938
-0.226331675180462,,
,,3.1804612579265266
-0.3033695648317374,,
,1.7949734930942887,
-1.1538654047952863,,
,0.13269868723713207,
,0.9347745971599237,
,0.9924960606945789,
,,1.247619293574564
,1.2713594343384618,
,1.6100058730321607,
,,0.4761092889980434
,,1.034538794721992
2.7736967195593687,,
,-0.1325947696049139,
,,2.0767801009179547
0.17211350713734455,,
-0.10803443084561,,
-0.04069628571537695,,
,1.6380009146451502,
,,1.6215376510574788
,1.2621953192914446,
,,3.2619816813165388
,,1.1855175215676326
,-0.14869187537064477,
,-0.8717079889174097,
,2.2745227321814347,
,1.7367547212942585,
,2.839332175336948,
