ax_00_plot_0_plot_x,ax_00_plot_0_plot_y,ax_01_scatter_0_scatter_x,ax_01_scatter_0_scatter_y
1.0,2.0,0.4967141530112327,0.6587561377086302
2.0,4.0,-0.13826430117118466,-0.3308054413793429
3.0,3.0,0.6476885381006925,0.3092275379477131
4.0,5.0,1.5230298564080254,1.8288680008284592
5.0,4.0,-0.23415337472333597,0.2813463865246395
,,-0.23413695694918055,0.23150310260891874
,,1.5792128155073915,1.1596040538960721
,,0.7674347291529088,0.6128285412273015
,,-0.4694743859349521,-0.30384267023317013
,,0.5425600435859647,1.0303326071471441
,,-0.46341769281246226,-0.7030048117351072
,,-0.46572975357025687,-0.5585592419021654
,,0.24196227156603412,-0.31120521543698
,,-1.913280244657798,-2.5113835566981333
,,-1.7249178325130328,-1.3186549213159338
,,-0.5622875292409727,0.11583248504443877
,,-1.0128311203344238,-1.0488361811245908
,,0.3142473325952739,0.816013781541286
,,-0.9080240755212109,-0.7272060629973938
,,-1.4123037013352915,-1.7348635786378537
,,1.465648768921554,1.646346571675761
,,-0.22577630048653566,0.543241982746449
,,0.06752820468792384,0.04961518513294807
,,-1.4247481862134568,-0.6424263583064537
,,-0.5443827245251827,-1.8542552765700548
,,0.11092258970986608,0.521873841897478
,,-1.1509935774223028,-1.1074700433032172
,,0.37569801834567196,0.22619434311273823
,,-0.600638689918805,-0.5547583016510538
,,-0.2916937497932768,-1.2854782070937232
,,-0.6017066122293969,-0.7115425561481529
,,1.8522781845089378,2.030834470264811
,,-0.013497224737933921,0.7254497976328241
,,-1.0577109289559004,-1.316846038092724
,,0.822544912103189,0.4182981106565952
,,-1.2208436499710222,-1.4717221717632905
,,0.2088635950047554,0.6665646538557924
,,-1.9596701238797756,-1.7952945690499333
,,-1.3281860488984305,-1.59306615078195
,,0.19686123586912352,0.45349495242580157
,,0.7384665799954104,0.7870053546694307
,,0.1713682811899705,0.655690776456415
,,-0.11564828238824053,-0.46667482932691673
,,-0.3011036955892888,-0.46493476888817287
,,-1.4785219903674274,-1.6745760669335061
,,-0.7198442083947086,-1.451601682460768
,,-0.4606387709597875,-0.3125786324274995
,,1.0571222262189157,1.1876498623088603
,,0.3436182895684614,0.34617501788969185
,,-1.763040155362734,-1.8803337220503074
