ax_00_kde_kde_x,ax_00_kde_kde_density,ax_00_kde_kde_n
-3.2412673400690726,4.541407602063538e-05,800
-3.230382806130227,4.659982288961205e-05,800
-3.219498272191382,4.7815403815315186e-05,800
-3.2086137382525366,4.906148120691968e-05,800
-3.1977292043136916,5.033872662315931e-05,800
-3.186844670374846,5.1647820674183066e-05,800
-3.1759601364360006,5.2989452915048724e-05,800
-3.1650756024971556,5.436432173079223e-05,800
-3.15419106855831,5.577313421300616e-05,800
-3.1433065346194646,5.72166060278742e-05,800
-3.1324220006806196,5.8695461275615584e-05,800
-3.121537466741774,6.021043234129484e-05,800
-3.110652932802929,6.176225973696537e-05,800
-3.0997683988640836,6.335169193511841e-05,800
-3.088883864925238,6.497948519341564e-05,800
-3.077999330986393,6.664640337069485e-05,800
-3.0671147970475476,6.835321773423867e-05,800
-3.056230263108702,7.010070675830903e-05,800
-3.045345729169857,7.188965591395316e-05,800
-3.0344611952310117,7.37208574500962e-05,800
-3.0235766612921666,7.559511016594098e-05,800
-3.012692127353321,7.751321917470192e-05,800
-3.0018075934144757,7.947599565871102e-05,800
-2.9909230594756306,8.148425661593153e-05,800
-2.980038525536785,8.353882459793364e-05,800
-2.96915399159794,8.564052743938335e-05,800
-2.9582694576590947,8.77901979791061e-05,800
-2.947384923720249,8.998867377279425e-05,800
-2.936500389781404,9.223679679743159e-05,800
-2.9256158558425587,9.453541314751643e-05,800
-2.914731321903713,9.688537272316996e-05,800
-2.903846787964868,9.928752891022131e-05,800
-2.8929622540260227,0.00010174273825237154,800
-2.882077720087177,0.00010425186011553929,800
-2.871193186148332,0.00010681575634450031,800
-2.8603086522094867,0.00010943529091193634,800
-2.8494241182706417,0.00011211132956001952,800
-2.838539584331796,0.0001148447394346551,800
-2.8276550503929507,0.00011763638871252119,800
-2.8167705164541057,0.00012048714622104191,800
-2.8058859825152602,0.00012339788105143892,800
-2.795001448576415,0.00012636946216501135,800
-2.7841169146375697,0.00012940275799279983,800
-2.7732323806987242,0.00013249863602879196,800
-2.762347846759879,0.0001356579624168368,800
-2.7514633128210337,0.00013888160153143633,800
-2.7405787788821883,0.00014217041555258906,800
-2.7296942449433432,0.00014552526403486513,800
-2.7188097110044978,0.0001489470034708957,800
-2.7079251770656523,0.0001524364868494673,800
-2.6970406431268072,0.00015599456320841113,800
-2.6861561091879618,0.00015962207718248677,800
-2.6752715752491167,0.00016331986854646016,800
-2.6643870413102713,0.0001670887717535851,800
-2.6535025073714262,0.00017092961546969466,800
-2.6426179734325808,0.0001748432221031178,800
-2.6317334394937353,0.000178830407330645,800
-2.6208489055548903,0.00018289197961975575,800
-2.6099643716160448,0.000187028739747346,800
-2.5990798376771993,0.0001912414803151781,800
-2.5881953037383543,0.00019553098526229142,800
-2.577310769799509,0.0001998980293746153,800
-2.5664262358606633,0.00020434337779202163,800
-2.5555417019218183,0.00020886778551307156,800
-2.544657167982973,0.00021347199689769988,800
-2.533772634044128,0.00021815674516809818,800
-2.5228881001052823,0.00022292275190805328,800
-2.5120035661664373,0.00022777072656100453,800
-2.501119032227592,0.00023270136592708695,800
-2.4902344982887463,0.00023771535365943233,800
-2.4793499643499013,0.00024281335976000145,800
-2.468465430411056,0.00024799604007523014,800
-2.4575808964722103,0.00025326403579176545,800
-2.4466963625333653,0.00025861797293258746,800
-2.43581182859452,0.0002640584618538036,800
-2.4249272946556744,0.000269586096742406,800
-2.4140427607168293,0.00027520145511530057,800
-2.403158226777984,0.000280905097319902,800
-2.3922736928391384,0.0002866975660366034,800
-2.3813891589002933,0.0002925793857834375,800
-2.370504624961448,0.0002985510624232318,800
-2.359620091022603,0.0003046130826735865,800
-2.3487355570837574,0.00031076591361999293,800
-2.3378510231449123,0.00031701000223241326,800
-2.326966489206067,0.0003233457748856619,800
-2.3160819552672214,0.00032977363688390624,800
-2.3051974213283764,0.0003362939719896388,800
-2.294312887389531,0.0003429071419574428,800
-2.2834283534506854,0.00034961348607290765,800
-2.2725438195118404,0.0003564133206970304,800
-2.261659285572995,0.00036330693881645565,800
-2.2507747516341494,0.00037029460959990556,800
-2.2398902176953044,0.0003773765779611428,800
-2.229005683756459,0.0003845530641288391,800
-2.2181211498176134,0.0003918242632236901,800
-2.2072366158787684,0.0003991903448431447,800
-2.1963520819399234,0.0004066514526541098,800
-2.185467548001078,0.0004142077039939861,800
